timestamp,hr
1773848803.988103,78
1773848804.976962,78
1773848805.983117,79
1773848806.987401,79
1773848807.9780521,79
1773848808.982191,81
1773848809.987572,81
1773848810.9775841,82
1773848811.982653,82
1773848812.9876869,83
1773848813.977961,83
1773848814.98293,84
1773848815.987217,84
1773848816.977587,85
1773848817.981795,85
1773848818.987614,86
1773848819.977563,86
1773848820.9818828,86
1773848821.988153,87
1773848822.977194,87
1773848823.982632,86
1773848824.988158,86
1773848825.9774761,86
1773848826.98292,86
1773848827.987309,85
1773848828.97717,84
1773848829.982919,84
1773848830.9865642,86
1773848831.981722,87
1773848833.593608,89
1773848834.027771,90
1773848835.333123,90
1773848836.20278,89
1773848837.072201,88
1773848838.814442,87
1773848839.2481081,87
1773848840.116479,87
1773848840.992971,87
1773848842.2964349,87
1773848843.167569,86
1773848844.039118,86
1773848845.3427148,86
1773848846.212778,85
1773848847.0831392,85
1773848848.388211,85
1773848849.257664,84
1773848850.127616,83
1773848850.9977012,82
1773848852.3036668,81
1773848853.1730392,81
1773848854.042036,82
1773848855.347348,82
1773848856.218165,82
1773848857.087681,82
1773848858.3930602,80
1773848859.262625,80
1773848860.132709,79
1773848861.002103,79
1773848862.307947,79
1773848863.177691,80
1773848864.0469718,81
1773848865.352476,81
1773848866.2226062,82
1773848867.0912929,81
1773848868.3976488,80
1773848869.266978,79
1773848870.137943,79
1773848871.007623,79
1773848872.31264,79
1773848873.1819,79
1773848874.052605,80
1773848875.3573189,80
1773848876.2275782,80
1773848877.09746,79
1773848878.4026198,78
1773848879.272084,78
1773848880.142696,78
1773848881.8821719,78
1773848882.317492,78
1773848883.1874409,79
1773848884.056465,79
1773848885.361633,78
1773848886.232991,78
1773848887.102216,77
1773848888.410086,77
1773848889.2784052,77
1773848890.146534,77
1773848891.0173519,78
1773848892.321662,79
1773848893.192687,80
1773848894.93242,80
1773848895.367581,80
1773848896.237477,80
1773848897.1067688,79
1773848897.976622,78
1773848899.2817678,78
1773848900.151836,78
1773848901.022052,78
1773848902.326782,79
1773848903.1964521,80
1773848904.067522,80
1773848905.371705,81
1773848906.241686,81
1773848907.112918,81
1773848907.983197,81
1773848909.287906,81
1773848910.158922,81
1773848911.0274491,81
1773848912.332526,81
1773848913.201579,81
1773848914.07289,81
1773848915.378913,81
1773848916.247242,80
1773848917.117611,80
1773848917.988874,81
1773848919.2927139,81
1773848920.1624691,82
1773848921.0325198,82
1773848922.337505,82
1773848923.20671,82
